Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
PTPRO	ADAMTS6	PTPRO	CUBN	KDM1A	RAD52	ASIC1	DDIT3	FOS	FOSB	CA3	PRDX5	CD59	S100A11	DCN	TP53	MMP7	ANKRD37	TNNC2
MEG3	CEACAM6	UMOD	COL4A3	PHTF2	PHTF2	TSPAN33	FOSB	FOSB	ATF3	SFRP2	HINT1	HSP90B1	CCL19	DPT	EGFR	A2M	PPP1R15B	NOV
TCF21	CYP4A22	PKHD1	DLL4	SLC6A13	CLCN6	CLCN6	FOS	ATF3	FOS	TNNC2	COX4I1	HMGN3	CD63	SERPING1	TOP2B	VCAM1	GEM	ACKR1
RGS5	CSPG4	LRP2	MUC1	CPS1	CEP68	GCDH	DUSP1	JUN	ZFP36	DPT	HSP90AA1	ATP6V1G1	DAD1	MFAP4	POLR2A	MFAP4	C8orf4	OGN
NDUFA4L2	LGI4	CLCNKB	HOXA13	RRAGD	MAP4	TRIM6	KLF6	EGR1	KLF4	COL1A1	TXN2	HSPA5	SERPING1	TMSB10	POLR2B	PIGR	DUSP6	FHL1
TGFBR2	PRRX1	CLCNKA	COL4A3	FBXO42	PKN2	STYXL1	ATF3	EGR2	DUSP1	CCDC80	COX6B1	BICC1	CLU	LUM	POLR1B	SERPING1	CLK1	TNFAIP6
SPC25	AIF1	PKHD1	COL4A4	SPATA7	SMARCD1	AGT	KLF4	KLF4	BTG2	COL1A2	GHITM	ARID5B	ANXA5	MGP	HDAC1	HMGCS2	AC007906.2	MYOZ1
CYP4A22	CYP1A1	SLC34A1	MUC1	WDR37	ROGDI	FGF5	ZFP36	IL6	JUN	NOV	DBI	WFDC2	ACTG1	MMP2	ESR1	RNASE1	TSC22D1	COL14A1
CLNK	ISLR	COL4A3	TNXB	ITIH4	IFT80	ACE	EGR1	NR4A2	DDIT3	COL3A1	LAMTOR5	IL32	H3F3B	TMSB4X	EP300	CD74	RGS16	PI16
MYH11	CEACAM7	DLL4	MUC1	DIP2B	DDHD2	PGAP3	BTG2	NR4A1	IER2	ACKR1	SOD1	SDC4	RACK1	VIM	MAPK14	C7	KLF2	C1QTNF3
CSPG4	CEACAM5	CENPF	COL4A4	MPPED2	ARVCF	SMDT1	RHOB	IFNG	CCNL1	OGN	METTL7A	EFNA1	MYL12B	CCDC80	MAPK1	TXNIP	KLF10	CAPN6
PTGDS	SLC22A7	BSND	PRKCD	WIPI1	CDKL1	SLC30A4	JUN	JUNB	JUND	PDGFRL	NDUFB9	TNFRSF11B	SRP14	PDGFRL	POLR2C	TIMP1	ARL5B	HAVCR1
MRGPRF	TRIM54	MUC1	PRKCD	TESK2	PIK3CG	GDF9	DNAJB1	ZFP36	BHLHE40	MTCO2P12	ELOB	MYOF	PLP2	S100A6	CREBBP	TAGLN2	NFKBIA	LCN2
LHX1	NUSAP1	COL4A3	TNXB	ALDH3A2	OCIAD1	GAB2	JUND	EGR3	DNAJB1	FHL1	COX14	ENO1	DSTN	APOE	STAT3	PSAP	NCOA7	FABP4
KNG1	SERPINF1	CLCNKB	COL4A4	P4HA2	ASIC1	ERI1	AC020916.1	MYC	CSRNP1	TNFAIP6	MPC2	TMEM59	EIF1	FGL2	POLR1C	ADGRF5	NR0B2	IGF2
TNNT3	NTF4	COL4A4	TNXB	NT5C2	STRN	GCDH	IER2	EGR4	RHOB	CTSK	NDUFA8	ITGB6	RPL3	CD74	POLR1A	CA2	RGS2	ASPN
IGFBP5	NOTCH4	CASR	AFF4	ITCH	CD46	MANBA	BHLHE40	FOSL1	KLF6	MYOZ1	ATP5L	SLPI	PSME1	CD44	NFKB1	CLU	B3GNT5	VCAN
IGF2	MAG	CYP17A1	ASXL1	CDC14A	APOA1	TRIM6	NFKBIZ	KLF6	EGR1	COL14A1	SDHD	C8orf4	RPS6	EMP3	PTEN	ARHGDIB	HES1	LTF
MGP	MCAM	MUC1	DLL4	EPB41L3	SGIP1	ACE	JUNB	IRF1	PPP1R15A	PI16	COX6A1	HINT1	GSTP1	ISLR	ENO1	SLC26A7	MYADM	APOBEC2
PRRX1	CUBN	SLC7A9	CHD7	TAF9	UBN1	PPM1E	GDF15	JUND	GDF15	C1QTNF3	ATP5G1	COA3	RHOA	BGN	POLR3A	SPARC	PNRC1	COL6A3
INA	KCNN3	CD81	CYP11A1	B4GALT1	HOXB3	SMDT1	GADD45B	BTG2	NFKBIZ	IGLV3.25	CA12	HAVCR1	ATP6V0E1	FXYD5	HDAC2	B2M	RGS1	SLC34A2
CYP1A1	TNNI1	SOX18	NR3C2	ASAP3	TBX2	SMDT1	PPP1R15A	DDIT3	DUSP5	CAPN6	RNF181	SLC34A2	SOX4	ANXA1	AR	S100A11	C10orf10	FSTL1
ISLR	TPX2	SHH	CUBN	XYLB	HIVEP3	DPEP1	C8orf4	CDKN1A	GADD45B	HAVCR1	ATP5J2	FLRT3	TIMP1	CTSS	PA2G4	SCIN	TOB1	TNNI1
MFAP4	TYRO3	SOX18	STRA6	MAP1LC3A	INO80	GAB2	AC007906.2	MAFF	APOLD1	FBN1	SARAF	PPP2R1A	TMEM14C	AXL	MAPK8	SCNN1G	NUAK2	FMOD
SLC22A7	EMP3	CLCNKA	DLL4	IQCH	CHAC1	SPATA7	CXCL2	KLF2	TRIB1	LCN2	AKR1A1	ANAPC13	RPL19	PLA2G12B	HDAC3	CDA	LETM2	PDLIM3
ACSM2A	HRC	DCDC2	LYZ	LACTB	SHBG	GCDH	ANKRD37	SNAI1	PMAIP1	FABP4	ATP5E	SOD2	CNBP	SLPI	ABL1	MGP	C11orf96	IGF1
UMOD	DUOXA1	DCDC2	SCARB2	ERI1	CDC16	SLC2A4RG	CYR61	NR0B2	JUNB	CXCL1	UQCR10	TRAF3IP2	BEX3	SERPINF1	EIF5B	IL32	ODF3L1	CAV1
EPS8L3	ADAM15	WNK1	TNXB	GCDH	DDB2	IRF5	DNAJB4	NR4A3	HBEGF	IGF2	NDUFB3	MTCO2P12	RPLP0	KRT19	EEF1A1	HEPACAM2	IRF1	MMP7
SLC7A13	FXYD1	MYH9	SCARB2	GRB10	TMEM60	AGT	CSRNP1	OSR2	RIPK4	ASPN	PFN2	ASAH1	CALM2	CCL2	POLR2F	CPVL	CXCL3	SAA1
ATP6V0D2	FOXS1	SLC37A4	ETFA	PIP5K1B	RABEPK	ACE	KLF2	KLF10	MCL1	MMP2	ACAA2	SPP1	RPL36AL	TAGLN	CREB1	TIMP3	LDLR	ANKRD2
TRIM54	HLA-DRB1	MUC1	MUC1	LARP4B	NOV	SMDT1	PMAIP1	CEBPD	DNAJB4	ISLR	PCBD1	CDH6	IFITM2	CD3D	STAT1	CDH6	NEDD9	GC
C1orf64	ACOXL	PKHD1	ASXL1	DHRS11	TMEM180	OGDHL	SNORD14E	SOX9	NR4A2	VCAN	SNHG8	CPM	PKM	CTSK	RELA	TSPAN1	CD83	CRABP2
ATP6V0D2	SFTPB	COL4A4	IFT172	FBXL20	ARL3	NOL8	SERPINE1	CEBPB	NFIL3	LTF	NDUFA1	TSPAN8	TAGLN2	ACTA2	PDCD11	APP	CLDN14	ANGPTL2
NUSAP1	MRVI1	DGKE	CHD7	RAI1	FGF5	GSTA1	HBEGF	TNFAIP3	EGR2	APOBEC2	TIMM10	LCN2	LAPTM4A	CD53	TBP	LAPTM4A	ARL4A	ITGB6
NTF4	HLA-DRB1	EHHADH	PRKCD	MANBA	NME7	TMEM165	ZNF165	SRF	PIM1	SLPI	NDUFC1	FUT11	HNRNPA2B1	IL2RG	KDM2A	PIGT	CKS2	PROM1
GATA5	FXYD1	FAM20A	AFF4	UBE2D3	CRIP3	TSPAN33	TOB1	HIST1H2BG	CYR61	COL6A3	FKBP2	CDH16	RPL5	SDC1	SMARCA2	SLC35F6	SNAI1	CCL20
HBB	TNNT2	FGF10	STRA6	ALDH2	IRAK1BP1	SEC23B	PNRC1	IL1B	SLC2A3	VWF	NDUFB2	VTCN1	RPL10A	VCAM1	RNPS1	TUBA1A	CHORDC1	LAMC2
ACSM2B	VIM	SHH	AFF4	KNG1	WHSC1L1	ERI1	MIR616	GATA6	SLC25A25	SLC34A2	TSTD1	PDHA1	RPL29	SFRP2	PRKCA	SCPEP1	CD69	WFDC2
MCAM	KRTAP5-9	LAMB2	COL4A4	TFDP2	ADM	ACE	SLC2A3	NFKBIA	WEE1	FSTL1	COX7A2	LYG1	EDF1	SPARC	PPARA	GLUL	TSC22D3	EMP1
SLC6A6	SEMA3G	CYP24A1	CUBN	TANC1	SIDT2	PGAP3	HBB	FOXJ1	EGR3	NNMT	SDHB	PRDX2	IFITM3	LCP1	SMAD3	SERPINA5	CEBPB	CPE
PLAC9	NOTCH4	MYCN	STRA6	NRBP1	FER	TCEA3	WEE1	BMP2	NR4A1	TNNI1	COX7C	STRAP	AKR1B1	ABI3BP	AKT2	MAGED2	FILIP1L	PIGR
KCNN3	EVX1	ABCC6	PRKCD	LANCL1	TMEM87B	SLC6A13	CKS2	HSF2	TNFAIP3	TPM2	NDUFA2	ABRACL	HNRNPF	SPARCL1	SRSF5	S100A4	CITED2	TIMP1
LDB3	HLA-B	PRKCD	MUC1	AGMAT	UBASH3B	GAB2	APOLD1	FOSL2	SERTAD1	FMOD	EBP	NARS	EIF3I	ANTXR1	PPARG	UBE2L6	TNFRSF10D	AGR2
TMEM204	HLA-DRA	SC5D	FANCA	APH1A	ADK	ERI1	ZFP36L1	KLF5	IFRD1	PDLIM3	NDUFB11	AP1S3	ANXA2	CCND2	POLR2H	DDOST	LINC00675	PMP22
HBD	STC1	PRKCD	IFT172	SORBS3	MED8	GCDH	GEM	BATF3	MAFF	C3	COX8A	DYRK4	NOP10	ARHGDIB	SRSF1	PLIN2	ICAM1	MYADM
TNNI1	HLA-DPA1	KCTD1	STRA6	PDLIM2	ACE	TRIM6	CD83	BCL6	CXCL2	IGF1	ACMSD	ATP1A1	SYPL1	C3	SNRPB	ANXA5	MT1A	CAVIN1
HJURP	ATP4A	EFEMP2	AFF4	TBX2	C1orf86	AGT	PPP1R15B	REL	SERPINE1	ABI3BP	TPT1	UCHL1	PPIB	S100A4	MAPK13	PGD	IGFBP1	ELF3
SLC9A3R2	BUB1	CYP24A1	PRKCD	BCL2L14	CDC42EP3	ACE	CD69	ATF4	SLC20A1	CAV1	TMEM141	ALAS1	TNFSF10	CNN1	SNRPD1	PKM	ADAMTS4	QPCT
SYT8	HLA-DRB1	CYP24A1	MUC1	ACVR2A	CCNYL1	ADRA2C	HBA2	BHLHE40	CDKN1A	FN1	TIMM8B	RC3H2	B4GALT1	ARPC1B	POLR2J	C1S	ANXA1	CDH6
TYRO3	HLA-C	CLCNKA	SCARB2	NT5C3A	RYK	NOL8	TRIB1	CEBPG	MAP3K8	MMP7	NDUFB7	NEK11	CAPN6	COL1A1	ATM	NCSTN	HIST1H2BC	SOX4
AQP3	HLA-DPA1	OCLN	CHD7	SLC25A16	ZNF589	DPEP1	NR4A2	NR1D1	RND3	AL353751.1	SELENBP1	S100A2	CD9	IGFBP6	HNRNPD	APEX1	GPR132	EGR1
EMP3	LTK	GCDH	SCARB2	WWP1	ERAP1	GAB2	TSC22D3	NFKBIZ	SOCS3	SAA1	CAT	TMEM14A	PPP1CB	PDLIM1	POLR2L	BICC1	HBB	TMPRSS4
HRC	HLA-DQA1	CDKN1C	ETFA	SLC17A1	ARHGAP42	GCDH	RGS1	TSC22D3	JMJD6	ANKRD2	CISD1	MUC1	ERH	MARCKS	DHX38	GLB1	ADM	ANXA2
UPK2	COL4A3	CD81	CHD7	OPRL1	WBP1L	TRIM6	EGR2	CREM	RASGEF1B	GC	PEBP1	TMEM9	LDHA	CAPG	SMAD2	SGPL1	NOCT	PLP2
LPA	HLA-DRA	CLCNKB	SCARB2	SLC2A4RG	TMEM170A	SLC2A4RG	ERRFI1	MAFG	TGIF1	CRABP2	AIFM1	LRG1	PIGR	CCL19	TLR4	ELOVL1	BIRC3	FCER1A
SLC8A1	DLL4	ENPP1	KIF14	PPDPF	ZNF641	AGT	CEBPD	SIRT1	ZFP36L1	ANGPTL2	COMMD8	LTF	RPS14	CD2	NPM1	IFITM2	ZNF878	LGALS1
PDZD3	WIPF3	ABCC6	ASXL1	MED1	SRR	DAB2	HES1	MEF2D	MXD1	IGFBP6	OAT	MORF4L1P1	CAP1	TPM2	HNRNPK	MSN	NEURL3	SOSTDC1
SLC23A3	CYP4Z1	COL4A4	INPPL1	VIL1	VASN	ACE	CLK1	BCL3	PLK3	CNN1	NDUFA4	RSPH1	MORF4L2	AOC1	POLR2K	GSTM3	ERRFI1	RNF144B
SLC47A2	AGR2	AGPAT2	COL4A3	SMO	USP38	PGAP3	DUSP6	MSX1	DNAJA1	MFAP4	GLRX	PVR	APEX1	CLU	SRSF6	ENO1	MB21D1	PECAM1
NOSTRIN	HLA-DPB1	ENPP1	CYP11A1	IRF5	NME6	SMDT1	RIPK4	NFKB2	MYC	ITGB6	CAMK2N1	TMEM181	SDCBP	COL1A2	COPS5	RPN2	PDK4	GPNMB
DUOXA1	TRIM29	CD81	CAD	INO80	FIBP	ADRA2C	TIPARP	ELF3	TIPARP	PROM1	HMGCL	NUP153	CPVL	TUBA1A	POLR2G	CDH1	LIF	TACSTD2
SLC28A1	CA12	LAMB2	AFF4	CHAC1	CTSW	TCEA3	IFRD1	ETS2	HSP90AA1	CCL19	SLC25A5	CCNG1	RPS19	GSTA2	SRSF2	IFITM3	OASL	AKAP12
PKHD1	HLA-DPA1	SLC2A9	AFF4	JUND	EFEMP2	SLC6A13	CLDN14	NFIL3	OSR2	CCL20	HIST1H4C	RBMS2	C6orf62	EDN1	SP1	TMSB10	LEAP2	S100A11
IGFBP5	AC013472.4	AFF4	ETFA	ZBTB46	HECTD4	DPEP1	NEDD9	SMAD7	DNAJA4	LHFPL6	NAA38	TSPAN6	ARL6IP5	NNMT	SOS1	ATP6V0A4	GPR183	S100A14
RP11-445F12.1	KRTAP5-10	CLCNKA	COL4A3	MMACHC	KCNH6	GAB2	HBA1	DEDD2	HSP90AB1	LAMC2	CRYL1	VAMP8	SF3B5	CXCL14	SIN3A	CAP1	PTX3	CLDN7
ADAM15	CA12	CLCNKA	ASXL1	LPIN3	CD164L2	POLR1A	DUSP10	HIST1H2BN	RND1	ANTXR1	USMG5	UIMC1	SNRPD2	COL3A1	SMG1	UCP2	NLRP3	ANXA3
NEURL1	FXYD3	CLCNKB	CYP11A1	CASP9	TOP3A	VPS9D1	RASD1	TGIF1	CEBPD	TNC	COX5B	TPI1	BTF3	CXCL1	CDC5L	UBC	ADRB2	TMEM43
RP11-879F14.2	VAMP5	ACTG2	COL4A4	KIAA1614	HYI	NT5C2	AC011379.1	RELB	DUSP10	ANXA1	PHYH	HACD3	CDC42	VWF	SMAD4	EFNA1	HBA1	TES
APCDD1L	HLA-DQB1	MYH9	MUC1	STRA6	HOXC10	EPB41L3	HIST1H1C	PER1	PLK2	CCL21	CA2	TXN	HNRNPK	CTSW	POLR2I	ATP6V1A	CCL8	MPZL2
IL1RN	AC019117.1	LRP2	MUC1	CALHM2	NQO1	ARFRP1	LINC00675	HES1	CLDN4	C1S	CUBN	ATP5C1	XRCC5	FN1	RUVBL1	KIT	HBA2	SPP1
ABCA8	TCF4	SLC34A3	CDC5L	FAM149B1	SLC2A4	SLC30A4	NR1D1	MXD1	NR4A3	TUBA1A	C14orf2	TRMT5	PLSCR1	TRAC	SRSF3	EFEMP1	HAS2	VCL
FBLN2	HLA-DPB1	KCNA1	SCARB2	DNA2	SGK223	GCDH	NR4A3	JDP2	IER5	WFDC2	HIST1H1C	ZZZ3	OST4	UPK1B	SSB	TSPAN7	FGA	TAGLN2
SLC47A1	HLA-DRA	SLC7A9	ETFA	FGF5	FHL3	TRIM6	PDK4	ZFP36L1	ZC3H12A	EMP1	TMEM120A	HIGD1A	OSTC	GSTA1	DDX5	RARRES3	LRG1	VTCN1
BMP5	HLA-DQA1	BRIP1	FKBP14	SHROOM3	OAF	SLC2A4RG	ZFAND5	HIST1H1C	HSPA8	LUM	ATP5J	ELK4	BRK1	TNC	JUND	EIF2S3	EDN2	ST6GAL1
DHRS9	CLDN11	DLL4	SCARB2	NEIL1	ACTRT3	AGT	CLK4	PER2	AREG	SERPINF1	FAHD1	C1orf116	CLDN7	FBN1	RAD51B	SOX4	SERPINA3	ECSCR
GSTM3	HLA-DPB1	LAMB2	MUC1	MAN2C1	FAM174B	TSPAN33	AC104695.3	ZNF165	DUSP2	S100A4	ATPIF1	ZNF611	RPL7A		POLR2D	ACTG1	TAGAP	SOD2
TMEM61	SHROOM3	SLC37A4	FANCA	ULK3	CHP1	ACE	HIST1H2BC	IRF8	RRAD	CD44	ATP5I	BEX4	MYL12A		XRCC6	FCER1G	MMP19	APP
TNNT2	DUOXA2	WNK1	IFT172	RPL3L	ZNF512B	PGAP3	RCAN1	HIST2H2BE	HSPH1	VIM	ETFA	TNFSF13	DYNLL1		NCOR1	COPG1	RGS17	ITM2C
SEMA3G	LEAP2	CYP11A1	ETFA	SLC47A1	FUT11	LEAP2	ZNF331	GTF2B	IL6	CPE	ACSL1	TMEM189	S100A16		PWP1	CTGF	S100A8	KLF6
LRP2	HLA-B	ENPP1	IFT172	TARS2	ATG7	SMDT1	LEAP2	NKRF	ELF3	MGP	SLIRP	CYSTM1	IMPDH2		HNRNPR	PLTP	CCL20	TSPAN8
VCAM1	HLA-DQB1	FGF23	FKBP14	ANXA9	C4orf22	GSTA1	CITED2	NFYA	LMNA	CCND2	RTN4	PSMC4	SF3B6		YY1	DNAJA1	CGA	UCP2
BHMT2	RHOV	FAM20A	CYP11A1	TPRKB	NOL8	DPEP1	ACKR3	MAFK	SELE	PIGR	NDUFAB1	LCOR	RPS16		NFKBIA	TMEM101	ANGPTL4	PPIC
CTSK	HLA-DQA1	NSD1	DPH1	NAT8	GPN1	EPB41L3	PIM3	ERF	BCL6	TIMP1	OGDHL	AP001258.1	HSP90AB1		GTF2B	TMED9	CXCR2	LYG1
CLCNKB	MUC1	DGKE	CYP11A1	DUSP11	C9orf37	SLC30A4	USPL1	ETV3	BAG3	AGR2	ALDH7A1	ZCCHC14	SELENOF		FOXO1	IFNGR1	FCN1	ARID5B
ATP6V0D2	AC006994.2	POR		BIN3	TRIM59	GCDH	AL365436.1	TOB1	PER1	C1R	C11orf54	TMEM246	UBC		FUS	HAVCR2	CCR2	EFEMP1
SYT8	LMTK3	STRA6		A1CF	ATF6B	TFDP2	SNORD63	TBP	VPS37B	PMP22	MAOB	FAM49B	XRCC6		SRRM1	GNPDA1	PLAC8	FLRT3
IGFBP2	TPM1	DLL4		THY1	AQP1	TRIM6	RNU6.118P	MED6	RASD1	DCN	IGFBP4	PRDX3	DDX5		RUVBL2	AKR1B1	RSPO3	ITM2A
CR1	DDR1	SLC34A1		RABGEF1	DKFZP779L1853	PDLIM4	IGFBP1	ZNF335	GADD45G	FXYD5	ACAT1	ANP32E	IFNGR1		SUPT16H	CD9	FGG	IFITM1
CLCNKA	HOXA13	FAM20A		PPM1J		SORT1	AZGP1P1	SERTAD1	NR1D1	MYADM	PAQR7	AGR2	CTTN		PARP1	CD63	MS4A1	A2M
FAM65B	DMKN	EFEMP2		EXOG		AGT	KLF9	TBPL1	TSPYL2	CAVIN1	TMEM176A	SQSTM1	GLUL		SNW1	DDX5	IGKV1-5	BICC1
TM6SF1	LRRC2	SLC34A3		TSPAN33		APH1B	ZNF669	KDM2A	SERPINH1	IL2RG	SMIM6	TEX10	EIF3L		KAT5	XRCC6	IGKV3-11	TNFRSF11B
NEAT1	STAC2	IFT140		SPATA2L		FGF5	C10orf10	ELL	SOX9	ELF3	MAOA	INPP1	SH3BGRL		RBBP4	SUMF2		S100A10
BHMT	EHD4	SC5D		CCAR2		TSPAN33	RGS16	TFAP2C	EDN1	QPCT	UQCR11	RTCB	ARF4		NR3C1	ERP29		UGCG
RP11-328K4.1	EMILIN1	MYH9		GPBP1L1		ACE	KLF10	KLF9	ZFAND2A	CDH6	ACADM	TALDO1	CCL2		SRSF9	BCAP31		ACTG1
SPTBN1	COL4A3	AGPAT2		PGAP3		DACH1	NR0B2	FOXQ1	ITPKC	SULT1C4	COX6C	SFRP1	SRP9		MAPK9	HSPA8		CXADR
CLEC18A	SLC43A2	SMAD3		SYCE2		DAB2	DUSP5	CITED2	BTBD19	CCL2	ALDH8A1	ARSJ	SLC25A6		FOXO3	PLP2		MUC1
MYOCD	CA8	MYH9		USP24		ACE	UBC	ARID4A	CCL2	CTSW	GALM	SMAGP	ERP29		TAF1	AXL		PLSCR1
CD34	DUOXA1	SCARB2		SLC15A2		TCEA3	MCL1	ID2	CD2	CD2	SLC37A4	PIH1D2	EIF4G2	SSRP1		DHRS7		RAP2B
DES	FOXD2	CYP24A1		THOC7		GABPB2	HSP90AA1	CHD1	PDLIM1	PDLIM1	SNHG25	TLCD1	ALDOA	GTF2F2		HACD3		TM4SF1
EGFL7	HPN	SC5D		CCDC158		CENPP	DNAJA1	NFYC	SOX4	SOX4	KIAA1191	SCIN	NDUFS5	POLR1E		SEC23B		EFNA1
LY86-AS1	HIBADH	SMAD3		C3orf65		SORBS3	HSPH1	BCL3	EGR1	EGR1	COX7B	C9orf85	PIGT			XRCC5		ANXA5
STC1	FXYD5	WDR73		SLC9B1		CEP68	CDKN1A	ADAMTS1	TMPRSS4	TMPRSS4	GSTO1	RNASEH2A	PAFAH1B2			HSP90AB1		IFITM2
ATP4A	SERPINF2	RPS10		CCDC51		ARVCF	CXCL8	PER2	ANXA2	ANXA2	UQCRQ	KCTD1	LEPROT			EPRS		B4GALT1
NEXN	HOXA1	BSND		SHISA5		GGCX	NCOA7	ELMSAN1	LCP1	LCP1	POLDIP2	TRAF6	TMED10			TMEM43		TNFSF10
POLA2	CA8	SCARB2		RNF123		RMDN1	SOCS3	EPHA2	SPARCL1	SPARCL1	CLRN3	UBFD1	NNMT			MARCH6		ARHGAP1
MAGI2	FOLR3	KCTD1		RAD54L2		CEP68	NFKBIA	ARID5A	VCAM1	VCAM1	NAT8	PRDX1	AP2M1			AL035071.1		CALU
PLEKHH2	HLA-DMA	MYH9		ETNPPL		ARVCF	NFIL3	EMP1	CD3D	CD3D	ATOX1	CERS5	GDI2			PDIA6		UCHL1
HS3ST6	CEP55	LRP2		LEAP2		ANKRD27	CCNL1	PTGS2	PLP2	PLP2	METTL7B	ARMCX6	STOM			SARS		CPVL
MMRN2	RCN3	ETFA		UNCX		GGCX	ODF3L1	CXCL1	CD99	CD99	HADH	LRTOMT	MAGED2			CCT3		ACTB
PKHD1	PDZK1IP1	CDKN1C		DACH1		CHAC1	MXD1	GATA6	FCER1A	FCER1A	ECHS1	OCIAD2	REEP5			MYL12A		IFITM3
LTK	FXYD3	DGKE		ZNF641		CASP9	TNFAIP3	IL1B	LGALS1	LGALS1	RPS27L	SLC3A1	DDOST			HADHA		SLC35F6
NPDC1	SEMA3G	CPT1A		THBS3		MYL3	HSPA8		CLU	CLU	HIBCH	TXN2	DAZAP2			STT3A		PKM
SLC34A1	HLA-DMA	TCTN3		UMOD		FRS2	RGS2		SOSTDC1	SOSTDC1	TMEM27	DESI1	THRAP3			PECAM1		SDCBP
SLC9A3R2	PHLDA3	CASR		GP2		CD164L2	MYC		SERPING1	SERPING1	CYB5A	C10orf76	HNRNPH2			RSU1		S100A16
COL4A3	COL4A4	KDM1A		SNUPN		RMDN1	ELF3		RNF144B	RNF144B	MT1XP1	TOR3A	ILF2			F13A1		TXNIP
NOSTRIN	AXL	KCTD1		GUSB		ZSCAN23	HSP90AB1		SPARC	SPARC	HSPE1	NCOA3	PRDX5			PRCP		CTTN
DLL4	NRIP2	UMOD		BRD3		RP11-599B13.6	TSC22D1		PECAM1	PECAM1	EPHX2	RFWD3	SRSF6			EIF3I		GLUL
MARVELD3	PTH1R	MUC1		TPPP		ANKRD27	MAFF		ARPC1B	ARPC1B	ALDH3A2	GTF3C6	CD74			CA12		PRR15L
PTGFR	FXYD3	EFEMP2		RGS19		RMDN1	CLDN4		BGN	BGN	LYPLAL1	PFKFB3	NONO			LGALS3BP		HSPA5
CYP4Z1	CCNI2	RPL11		MLLT3		ZSCAN23	MYADM		GPNMB	GPNMB	TMEM52B	ATG7	ELOVL1			EIF4G2		CPM
AGR2	VEGFA	RPL11		AQP4		JMJD7	RASGEF1B		TACSTD2	TACSTD2	EPHX1	RCC2	LMBRD1			HADHB		LDHA
RP1-80N2.2	TCF4	IFT172		OVOL1		CEP68	AL121944.1		AKAP12	AKAP12	HAO2	APOL1	C19orf53			H3F3B		TIMP3
RAD51AP1	SBF2-AS1	SBDS		HECTD4		SIDT2	DNAJA4		EMP3	EMP3	USP2	ADH1C	CAPZA1			TFCP2L1		IFNGR1
TRIM29	PTER	CISD2		ABLIM3		ACE	LDLR		S100A11	S100A11	BHMT2	PDE4D	PSMB6			ARHGAP1		SH3BGRL3
PCK1	TRIM29	RPS10		MAP3K11		KLHDC7A	ZFAND2A		S100A14	S100A14	SUCLG2	MRPL49	SLC35F6			PRDX1		GSTP1
CENPF	PNMT	PRKCD		USMG5		CEP68	SRSF7		TRAC	TRAC	BORCS7	POLR2D	PPT1			ALAS1		CD63
CA12	MUC1	SLC37A4		TCAP		GGCX	HSPB1		CLDN7	CLDN7	SDC1	SMAD3	SUMF2			PDHA1		MSN
NAT8	FMO1	SMAD3		MFSD4		FRS2	RND3		ANXA3	ANXA3	TPRG1L	EPCAM	CAPG			THRAP3		RHOA
SCPEP1	DHDH	AFF4		UGT8		AP001362.1	NR4A1		CD53	CD53	SLC6A13	MDH2	PSMB5			CPQ		IMPDH2
CTA-398F10.2	HLA-DMA	CLCNKB		BANF1		PKIG	ARL5B		TMSB10P1	TMSB10P1	NDUFB1	KCNJ16	CD24			C6orf62		CAP1
CALCRL	BMPR2	AGPAT2		UBQLNL			MT1A		AXL	AXL	ST3GAL1	RETREG1	RPA2			IL18		PIGT
PLG	VIM	OCLN		NFATC2IP			SGK1		UPK1B	UPK1B	COX5A	CLDN10	VCAM1			RBM23		LAPTM4A
UGT8	TNXB	B9D1		TUFM			SERTAD1		S100A2	S100A2	SNX4	TGM2	RPN1			PPT1		XRCC5
SLC6A13	PDZK1IP1	EFEMP2		CALR			H3F3B		MARCKS	MARCKS	LGALS2	GALNT7	TCEAL9			SLC8A1		H3F3B
MEG3	AGR2	WNT7A		PLD6			DEDD2		CTSS	CTSS	SCARNA22	SAT1	APP			DSG2		HNRNPF
GSTM5	CD22	RPS10		HKR1			ICAM1		TMSB10	TMSB10	NAT8B	PBRM1	BROX			PPIB		ARL6IP5
AC013472.4	P4HA2	STRA6		MUC1			PIM1		TMEM43	TMEM43	ALDH6A1	ZNF721	ARL6IP1			M6PR		B2M
CD34	DLK2	SOX18		BTN3A2			NUAK2		TES	TES	MT1L	GALNT10	SARS			FAAH2		HSP90B1
CA12	TSPAN13	STX16		UBE2H			CXCL1		MPZL2	MPZL2	ECI2	MRPL39	ANXA7			OLFML3		CD9
A1CF	DUOXA1	AFF4		MRPS21			OSER1		SPP1	SPP1	FTL	LINC01503	YPEL5			AP2M1		DDOST
CHST9	NOTCH4	COL4A4		CHP1			ATF4		VCL	VCL	CES2	BSG	RPN2			RHOA		PPP1CB
